date,ticker,agg_sent,agg_news,divergence,label,n_sent,n_news,sent_lo,sent_hi,news_lo,news_hi,low_n
2026-06-16,HDFCBANK.NS,0.3396,0.2693,0.0703,BULLISH (Confirmed),10,15,,,,,
2026-06-16,INFY.NS,-0.1654,0.0423,0.2077,"DIVERGENT (sent=-0.17, news=+0.04)",7,19,,,,,
2026-06-16,RELIANCE.NS,0.5547,0.1798,0.3749,SPECULATIVE HYPE (Retail Bullish / Fundamental Neutral),21,16,,,,,
2026-06-16,TCS.NS,-0.2551,-0.0793,0.1758,NEUTRAL,17,30,,,,,
2026-06-17,HDFCBANK.NS,0.3406,0.2693,0.0714,BULLISH (Confirmed),10,15,-0.4676,0.8421,-0.2587,0.6712,False
2026-06-17,INFY.NS,-0.4029,0.0418,0.4447,OVERREACTION (Fundamental Stable / Retail Panic),6,19,-0.8277,0.6603,-0.4018,0.492,False
2026-06-17,RELIANCE.NS,0.5551,0.1798,0.3753,SPECULATIVE HYPE (Retail Bullish / Fundamental Neutral),21,16,0.2386,0.7663,-0.1272,0.4727,False
2026-06-17,TCS.NS,-0.2617,-0.0793,0.1825,NEUTRAL,15,30,-0.6929,0.3052,-0.3988,0.2356,False
2026-06-22,HDFCBANK.NS,-0.3206,0.2922,0.6128,UNDER-THE-RADAR VALUE (Fundamental Bullish / Retail Neutral),13,17,-0.7669,0.4451,-0.0992,0.6288,False
2026-06-22,INFY.NS,-0.6361,-0.4297,0.2063,OVERREACTION (Fundamental Stable / Retail Panic),31,28,-0.867,-0.3439,-0.6601,-0.1619,False
2026-06-22,RELIANCE.NS,0.3518,0.2713,0.0805,BULLISH (Confirmed),12,13,-0.3703,0.8282,-0.0208,0.6131,False
2026-06-22,TCS.NS,-0.5626,-0.3225,0.2401,OVERREACTION (Fundamental Stable / Retail Panic),29,33,-0.8065,-0.2171,-0.594,-0.0237,False
2026-06-23,HDFCBANK.NS,0.3047,0.2935,0.0112,BULLISH (Confirmed),17,14,-0.4347,0.8168,0.0375,0.5957,False
2026-06-23,INFY.NS,-0.6545,-0.4924,0.1621,BEARISH (Confirmed),37,22,-0.8551,-0.363,-0.747,-0.2023,False
2026-06-23,RELIANCE.NS,0.7827,0.3406,0.4421,SPECULATIVE HYPE (Retail Bullish / Fundamental Neutral),14,7,0.5518,0.8629,-0.1872,0.9264,False
2026-06-23,TCS.NS,-0.6128,-0.382,0.2307,OVERREACTION (Fundamental Stable / Retail Panic),35,29,-0.8057,-0.3031,-0.6735,-0.0583,False
